TEMP;TOTAL HMX
K;kJ/mol
500;-127,813
499;-128,033
498;-128,254
497;-128,476
496;-128,698
495;-128,921
494;-129,144
493;-129,369
492;-129,594
491;-129,82
490;-130,046
489;-130,274
488;-130,503
487;-130,733
486;-130,964
485;-131,197
484;-131,431
483;-131,666
482;-131,904
481;-132,143
480;-132,384
479;-132,627
478;-132,873
477;-133,122
476;-133,373
475;-133,628
474;-133,887
473;-134,151
472;-134,419
471;-134,693
470;-134,973
469;-135,262
468;-135,56
467;-135,869
466;-136,193
465;-136,537
464;-136,906
463;-137,314
462;-137,784
461;-138,383
460;-139,608
459;-142,884
458;-143,62
457;-144,197
456;-144,697
455;-145,15
454;-145,57
453;-145,965
452;-146,342
451;-146,703
450;-147,051
449;-147,389
448;-147,718
447;-148,039
446;-148,352
445;-148,659
444;-148,961
443;-149,257
442;-149,549
441;-149,836
440;-150,12
439;-150,4
438;-150,676
437;-150,95
436;-151,22
435;-151,487
434;-151,752
433;-152,015
432;-152,275
431;-152,533
430;-152,788
429;-153,042
428;-153,294
427;-153,543
426;-153,791
425;-154,038
424;-154,282
423;-154,525
422;-154,767
421;-155,007
420;-155,246
419;-155,483
418;-155,719
417;-155,953
416;-156,187
415;-156,419
414;-156,65
413;-156,879
412;-157,108
411;-157,335
410;-157,562
409;-157,787
408;-158,011
407;-158,234
406;-158,457
405;-158,678
404;-158,898
403;-159,118
402;-159,336
401;-159,554
400;-159,771
