TEMP;TOTAL HMX
K;kJ/mol
390;-156,46
391;-156,252
392;-156,044
393;-155,835
394;-155,625
395;-155,414
396;-155,203
397;-154,991
398;-154,779
399;-154,565
400;-154,351
401;-154,136
402;-153,92
403;-153,704
404;-153,487
405;-153,269
406;-153,05
407;-152,83
408;-152,609
409;-152,388
410;-152,165
411;-151,942
412;-151,718
413;-151,493
414;-151,267
415;-151,039
416;-150,811
417;-150,582
418;-150,352
419;-150,121
420;-149,889
421;-149,655
422;-149,421
423;-149,185
424;-148,949
425;-148,71
426;-148,471
427;-148,231
428;-147,989
429;-147,745
430;-147,501
431;-147,254
432;-147,007
433;-146,757
434;-146,506
435;-146,254
436;-146
437;-145,743
438;-145,485
439;-145,225
440;-144,963
441;-144,699
442;-144,432
443;-144,163
444;-143,892
445;-143,618
446;-143,341
447;-143,061
448;-142,778
449;-142,491
450;-142,201
451;-141,907
452;-141,608
453;-141,305
454;-140,997
455;-140,683
456;-140,363
457;-140,036
458;-139,701
459;-139,357
460;-139,003
461;-138,637
462;-138,256
463;-137,858
464;-137,438
465;-136,99
466;-136,501
467;-135,953
468;-135,302
469;-134,405
470;-131,107
471;-130,122
472;-129,528
473;-129,051
474;-128,635
475;-128,257
476;-127,905
477;-127,573
478;-127,256
479;-126,951
480;-126,655
481;-126,368
482;-126,087
483;-125,813
484;-125,544
485;-125,279
486;-125,018
487;-124,761
488;-124,507
489;-124,256
490;-124,007
