T (K);H (kJ/kmol)
100;-89721,44928
100,05;-89718,51852
100,1;-89715,54589
100,15;-89712,61513
100,2;-89709,6425
100,25;-89706,66988
100,3;-89703,73912
100,35;-89700,76649
100,4;-89697,79386
100,45;-89694,82123
100,5;-89691,89047
100,55;-89688,91784
100,6;-89685,94522
100,65;-89682,97259
100,7;-89679,99996
100,75;-89677,02733
100,8;-89674,09657
100,85;-89671,12394
100,9;-89668,15132
100,95;-89665,17869
101;-89662,20606
101,05;-89659,23343
101,1;-89656,2608
101,15;-89653,28818
101,2;-89650,31555
101,25;-89647,34292
101,3;-89644,37029
101,35;-89641,3558
101,4;-89638,38317
101,45;-89635,41054
101,5;-89632,43791
101,55;-89629,46528
101,6;-89626,45079
101,65;-89623,47816
101,7;-89620,50553
101,75;-89617,5329
101,8;-89614,51841
101,85;-89611,54578
101,9;-89608,57315
101,95;-89605,55866
102;-89602,58603
102,05;-89599,6134
102,1;-89596,5989
102,15;-89593,62628
102,2;-89590,61178
102,25;-89587,63915
102,3;-89584,62466
102,35;-89581,65203
102,4;-89578,63753
102,45;-89575,62304
102,5;-89572,65041
102,55;-89569,63591
102,6;-89566,66328
102,65;-89563,64879
102,7;-89560,63429
102,75;-89557,66166
102,8;-89554,64717
102,85;-89551,63267
102,9;-89548,61818
102,95;-89545,64555
103;-89542,63105
103,05;-89539,61656
103,1;-89536,60206
103,15;-89533,58756
103,2;-89530,57307
103,25;-89527,55857
103,3;-89524,54408
103,35;-89521,52958
103,4;-89518,51508
103,45;-89515,50059
103,5;-89512,48609
103,55;-89509,4716
103,6;-89506,4571
103,65;-89503,4426
103,7;-89500,42811
103,75;-89497,41361
103,8;-89494,39912
103,85;-89491,38462
103,9;-89488,32826
103,95;-89485,31376
104;-89482,29926
104,05;-89479,28477
104,1;-89476,2284
104,15;-89473,21391
104,2;-89470,19941
104,25;-89467,14305
104,3;-89464,12855
104,35;-89461,11406
104,4;-89458,05769
104,45;-89455,0432
104,5;-89451,98683
104,55;-89448,97234
104,6;-89445,91597
104,65;-89442,90148
104,7;-89439,84511
104,75;-89436,83062
104,8;-89433,77425
104,85;-89430,71789
104,9;-89427,70339
104,95;-89424,64703
105;-89421,59066
105,05;-89418,57617
105,1;-89415,5198
105,15;-89412,46344
105,2;-89409,40708
105,25;-89406,39258
105,3;-89403,33622
105,35;-89400,27985
105,4;-89397,22349
105,45;-89394,16712
105,5;-89391,11076
105,55;-89388,0544
105,6;-89384,99803
105,65;-89381,94167
105,7;-89378,8853
105,75;-89375,82894
105,8;-89372,77258
105,85;-89369,71621
105,9;-89366,65985
105,95;-89363,60348
106;-89360,54712
106,05;-89357,49076
106,1;-89354,43439
106,15;-89351,33616
106,2;-89348,2798
106,25;-89345,22343
106,3;-89342,16707
106,35;-89339,06884
106,4;-89336,01247
106,45;-89332,95611
106,5;-89329,85788
106,55;-89326,80151
106,6;-89323,74515
106,65;-89320,64692
106,7;-89317,59055
106,75;-89314,49232
106,8;-89311,43596
106,85;-89308,33772
106,9;-89305,28136
106,95;-89302,18313
107;-89299,0849
107,05;-89296,02853
107,1;-89292,9303
107,15;-89289,87394
107,2;-89286,7757
107,25;-89283,67747
107,3;-89280,57924
107,35;-89277,52288
107,4;-89274,42464
107,45;-89271,32641
107,5;-89268,22818
107,55;-89265,12995
107,6;-89262,07358
107,65;-89258,97535
107,7;-89255,87712
107,75;-89252,77889
107,8;-89249,68066
107,85;-89246,58242
107,9;-89243,48419
107,95;-89240,38596
108;-89237,28773
108,05;-89234,1895
108,1;-89231,0494
108,15;-89227,95116
108,2;-89224,85293
108,25;-89221,7547
108,3;-89218,65647
108,35;-89215,55824
108,4;-89212,41814
108,45;-89209,3199
108,5;-89206,22167
108,55;-89203,08157
108,6;-89199,98334
108,65;-89196,88511
108,7;-89193,74501
108,75;-89190,64678
108,8;-89187,50668
108,85;-89184,40844
108,9;-89181,26834
108,95;-89178,17011
109;-89175,03001
109,05;-89171,93178
109,1;-89168,79168
109,15;-89165,69345
109,2;-89162,55335
109,25;-89159,41325
109,3;-89156,31502
109,35;-89153,17492
109,4;-89150,03482
109,45;-89146,89472
109,5;-89143,79648
109,55;-89140,65638
109,6;-89137,51628
109,65;-89134,37618
109,7;-89131,23608
109,75;-89128,09598
109,8;-89124,95588
109,85;-89121,81578
109,9;-89118,71755
109,95;-89115,57745
110;-89112,39548
110,05;-89109,25538
110,1;-89106,11528
110,15;-89102,97518
110,2;-89099,83508
110,25;-89096,69498
110,3;-89093,55488
110,35;-89090,41478
110,4;-89087,23282
110,45;-89084,09272
110,5;-89080,95262
