T (K);H (kJ/kmol)
100;-89587,13674
100,05;-89584,49905
100,1;-89581,8195
100,15;-89579,18182
100,2;-89576,54413
100,25;-89573,86458
100,3;-89571,2269
100,35;-89568,58921
100,4;-89565,90966
100,45;-89563,27198
100,5;-89560,59242
100,55;-89557,95474
100,6;-89555,31706
100,65;-89552,6375
100,7;-89549,99982
100,75;-89547,32027
100,8;-89544,68258
100,85;-89542,0449
100,9;-89539,36535
100,95;-89536,72766
101;-89534,04811
101,05;-89531,41043
101,1;-89528,73088
101,15;-89526,09319
101,2;-89523,45551
101,25;-89520,77596
101,3;-89518,13827
101,35;-89515,45872
101,4;-89512,82104
101,45;-89510,14148
101,5;-89507,5038
101,55;-89504,82425
101,6;-89502,18656
101,65;-89499,50701
101,7;-89496,86933
101,75;-89494,18978
101,8;-89491,55209
101,85;-89488,87254
101,9;-89486,23486
101,95;-89483,5553
102;-89480,91762
102,05;-89478,23807
102,1;-89475,60038
102,15;-89472,92083
102,2;-89470,28315
102,25;-89467,6036
102,3;-89464,96591
102,35;-89462,28636
102,4;-89459,64868
102,45;-89456,96912
102,5;-89454,28957
102,55;-89451,65189
102,6;-89448,97234
102,65;-89446,33465
102,7;-89443,6551
102,75;-89441,01742
102,8;-89438,33786
102,85;-89435,65831
102,9;-89433,02063
102,95;-89430,34108
103;-89427,70339
103,05;-89425,02384
103,1;-89422,34429
103,15;-89419,7066
103,2;-89417,02705
103,25;-89414,3475
103,3;-89411,70982
103,35;-89409,03026
103,4;-89406,35071
103,45;-89403,71303
103,5;-89401,03348
103,55;-89398,35392
103,6;-89395,71624
103,65;-89393,03669
103,7;-89390,35714
103,75;-89387,71945
103,8;-89385,0399
103,85;-89382,36035
103,9;-89379,72266
103,95;-89377,04311
104;-89374,36356
104,05;-89371,72588
104,1;-89369,04632
104,15;-89366,36677
104,2;-89363,68722
104,25;-89361,04954
104,3;-89358,36998
104,35;-89355,69043
104,4;-89353,01088
104,45;-89350,3732
104,5;-89347,69364
104,55;-89345,01409
